Loan ID,Year,Project Name,Loan (USD M),Country,Region,Borrower,Lender,Lender Type,Sector,Source 1,Source 2
ML.027,2018,Mali Digital 2020 (Mali Numerique 2020),168.85,Mali,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
MW.014,2016,National Fiber Backbone Phase I,23.00,Malawi,SA,Electricity Supply Corporation of Malawi Limited (ESCOM) (SOE),CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
MW.018,2020,National Fiber Backbone Phase II,100.43,Malawi,SA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),http://www.xinhuanet.com/english/africa/2021-06/26/c_1310028303.htm,https://www.finance.gov.mw/index.php/our-documents/debt-aid?download=129:2020-21-mid-year-public-debt-report
MW.019,2012,National ICT Development Programme (NICTDEP),120.03,Malawi,SA,National Government,CN Gov,Other CN Gov,Information and Communication Technology (ICT),https://www.psip.malawi.gov.mw/psip/psip_docs/2012-13/PSIP_Writeup_Print%20Version.pdf,https://www.psip.malawi.gov.mw/psip/psip_docs/2014-15/PSIP2014-15.pdf
MZ.055,2017,Digital Migration,156.00,Mozambique,SA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
MZ.062,2012,Maluana Data Center,135.00,Mozambique,SA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
MZ.071,2020,"National Mobile Network (Tmcel), Modernization and Expansion",132.00,Mozambique,SA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://www.portaldogoverno.gov.mz/por/Imprensa/Noticias/TmCel-vai-instalar-propria-fibra-optica-de-Norte-a-Sul-do-pais,
NE.007,2013,Fiber Optic Backbone,100.48,Niger,WA,Nigerian Telecommunications Society (Sonitel) (SOE),CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
NG.008,2013,ICT Infrastructure Backbone Project,100.00,Nigeria,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
NG.058,2018,National ICT Infrastructure Backbone Phase II Project,347.43,Nigeria,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
NG.069,2017,e-Border and e-Prison Solutions Procurement and Installation,175.50,Nigeria,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
SL.003,2012,National Optic Fiber Backbone Project,15.00,Sierra Leone,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
